##gff-version 3
#!gff-spec-version 1.20
#!processor NCBI annotwriter
#!genome-build Genome Reference Consortium GRCh37.p13
#!genome-build-accession NCBI_Assembly:GCF_000001405.25
#!annotation-source NCBI Homo sapiens Annotation Release 105
##sequence-region NC_000001.10 1 249250621
##species http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=9606
NC_000001.10	RefSeq	region	1	249250621	.	+	.	ID=id0;Name=1;Dbxref=taxon:9606;chromosome=1;gbkey=Src;genome=chromosome;mol_type=genomic DNA
NC_000001.10	BestRefSeq	gene	661139	665731	.	-	.	ID=gene23;Name=LOC100133331;Dbxref=GeneID:100133331;description=uncharacterized LOC100133331;gbkey=Gene;gene=LOC100133331;part=1%2F1
NC_000001.10	BestRefSeq	transcript	661139	665731	.	-	.	ID=rna17;Name=NR_028327.1;Parent=gene23;Dbxref=GeneID:100133331,Genbank:NR_028327.1;gbkey=misc_RNA;gene=LOC100133331;product=uncharacterized LOC100133331;transcript_id=NR_028327.1
NC_000001.10	BestRefSeq	exon	665563	665731	.	-	.	ID=id59;Parent=rna17;Dbxref=GeneID:100133331,Genbank:NR_028327.1;gbkey=misc_RNA;gene=LOC100133331;product=uncharacterized LOC100133331;transcript_id=NR_028327.1
NC_000001.10	BestRefSeq	exon	665278	665335	.	-	.	ID=id60;Parent=rna17;Dbxref=GeneID:100133331,Genbank:NR_028327.1;gbkey=misc_RNA;gene=LOC100133331;product=uncharacterized LOC100133331;transcript_id=NR_028327.1
NC_000001.10	BestRefSeq	exon	661139	665184	.	-	.	ID=id61;Parent=rna17;Dbxref=GeneID:100133331,Genbank:NR_028327.1;gbkey=misc_RNA;gene=LOC100133331;product=uncharacterized LOC100133331;transcript_id=NR_028327.1
NC_000001.10	Gnomon	gene	670970	672114	.	-	.	ID=gene24;Name=LOC101928706;Dbxref=GeneID:101928706;gbkey=Gene;gene=LOC101928706;part=1%2F1
NC_000001.10	Gnomon	transcript	670970	672114	.	-	.	ID=rna18;Name=XR_241050.1;Parent=gene24;Dbxref=GeneID:101928706,Genbank:XR_241050.1;gbkey=misc_RNA;gene=LOC101928706;product=uncharacterized LOC101928706;transcript_id=XR_241050.1
NC_000001.10	Gnomon	exon	672093	672114	.	-	.	ID=id62;Parent=rna18;Dbxref=GeneID:101928706,Genbank:XR_241050.1;gbkey=misc_RNA;gene=LOC101928706;product=uncharacterized LOC101928706;transcript_id=XR_241050.1
NC_000001.10	Gnomon	exon	671767	671999	.	-	.	ID=id63;Parent=rna18;Dbxref=GeneID:101928706,Genbank:XR_241050.1;gbkey=misc_RNA;gene=LOC101928706;product=uncharacterized LOC101928706;transcript_id=XR_241050.1
NC_000001.10	Gnomon	exon	670970	670993	.	-	.	ID=id64;Parent=rna18;Dbxref=GeneID:101928706,Genbank:XR_241050.1;gbkey=misc_RNA;gene=LOC101928706;product=uncharacterized LOC101928706;transcript_id=XR_241050.1
NC_000001.10	Gnomon	gene	674381	676182	.	-	.	ID=gene25;Name=LOC101060494;Dbxref=GeneID:101060494;gbkey=Gene;gene=LOC101060494;part=1%2F1
NC_000001.10	Gnomon	transcript	674381	676182	.	-	.	ID=rna19;Name=XR_241049.1;Parent=gene25;Dbxref=GeneID:101060494,Genbank:XR_241049.1;gbkey=misc_RNA;gene=LOC101060494;product=uncharacterized LOC101060494;transcript_id=XR_241049.1
NC_000001.10	Gnomon	exon	675794	676182	.	-	.	ID=id65;Parent=rna19;Dbxref=GeneID:101060494,Genbank:XR_241049.1;gbkey=misc_RNA;gene=LOC101060494;product=uncharacterized LOC101060494;transcript_id=XR_241049.1
NC_000001.10	Gnomon	exon	675509	675566	.	-	.	ID=id66;Parent=rna19;Dbxref=GeneID:101060494,Genbank:XR_241049.1;gbkey=misc_RNA;gene=LOC101060494;product=uncharacterized LOC101060494;transcript_id=XR_241049.1
NC_000001.10	Gnomon	exon	675183	675415	.	-	.	ID=id67;Parent=rna19;Dbxref=GeneID:101060494,Genbank:XR_241049.1;gbkey=misc_RNA;gene=LOC101060494;product=uncharacterized LOC101060494;transcript_id=XR_241049.1
NC_000001.10	Gnomon	exon	674381	674404	.	-	.	ID=id68;Parent=rna19;Dbxref=GeneID:101060494,Genbank:XR_241049.1;gbkey=misc_RNA;gene=LOC101060494;product=uncharacterized LOC101060494;transcript_id=XR_241049.1
NC_000001.10	BestRefSeq,Gnomon	gene	678203	714068	.	-	.	ID=gene26;Name=LOC100288069;Dbxref=GeneID:100288069;description=uncharacterized LOC100288069;gbkey=Gene;gene=LOC100288069;part=1%2F1
NC_000001.10	Gnomon	transcript	678203	714068	.	-	.	ID=rna20;Name=XR_241026.1;Parent=gene26;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	713664	714068	.	-	.	ID=id69;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	709551	709660	.	-	.	ID=id70;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	708356	708487	.	-	.	ID=id71;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	704877	705092	.	-	.	ID=id72;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	703928	703993	.	-	.	ID=id73;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	701709	701767	.	-	.	ID=id74;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	700103	700627	.	-	.	ID=id75;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	694347	694503	.	-	.	ID=id76;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	691457	691521	.	-	.	ID=id77;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	Gnomon	exon	678203	678730	.	-	.	ID=id78;Parent=rna20;Dbxref=GeneID:100288069,Genbank:XR_241026.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069%2C transcript variant X1;transcript_id=XR_241026.1
NC_000001.10	BestRefSeq	transcript	700245	714068	.	-	.	ID=rna21;Name=NR_033908.1;Parent=gene26;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	BestRefSeq	exon	713664	714068	.	-	.	ID=id79;Parent=rna21;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	BestRefSeq	exon	709551	709660	.	-	.	ID=id80;Parent=rna21;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	BestRefSeq	exon	708356	708487	.	-	.	ID=id81;Parent=rna21;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	BestRefSeq	exon	704877	705092	.	-	.	ID=id82;Parent=rna21;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	BestRefSeq	exon	703928	703993	.	-	.	ID=id83;Parent=rna21;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	BestRefSeq	exon	701709	701767	.	-	.	ID=id84;Parent=rna21;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	BestRefSeq	exon	700245	700627	.	-	.	ID=id85;Parent=rna21;Dbxref=GeneID:100288069,Genbank:NR_033908.1;gbkey=misc_RNA;gene=LOC100288069;product=uncharacterized LOC100288069;transcript_id=NR_033908.1
NC_000001.10	Gnomon	gene	721100	722507	.	+	.	ID=gene27;Name=LOC100287934;Dbxref=GeneID:100287934;gbkey=Gene;gene=LOC100287934;part=1%2F1
NC_000001.10	Gnomon	transcript	721100	722507	.	+	.	ID=rna22;Name=XR_108279.2;Parent=gene27;Dbxref=GeneID:100287934,Genbank:XR_108279.2;gbkey=misc_RNA;gene=LOC100287934;product=uncharacterized LOC100287934;transcript_id=XR_108279.2
NC_000001.10	Gnomon	exon	721100	722507	.	+	.	ID=id86;Parent=rna22;Dbxref=GeneID:100287934,Genbank:XR_108279.2;gbkey=misc_RNA;gene=LOC100287934;product=uncharacterized LOC100287934;transcript_id=XR_108279.2
NC_000001.10	BestRefSeq	gene	752751	755214	.	+	.	ID=gene28;Name=FAM87B;Dbxref=GeneID:400728,HGNC:32236;description=family with sequence similarity 87%2C member B;gbkey=Gene;gene=FAM87B;part=1%2F1
NC_000001.10	BestRefSeq	transcript	752751	755214	.	+	.	ID=rna23;Name=NR_103536.1;Parent=gene28;Dbxref=GeneID:400728,Genbank:NR_103536.1,HGNC:32236;gbkey=misc_RNA;gene=FAM87B;product=family with sequence similarity 87%2C member B;transcript_id=NR_103536.1
NC_000001.10	BestRefSeq	exon	752751	753582	.	+	.	ID=id87;Parent=rna23;Dbxref=GeneID:400728,Genbank:NR_103536.1,HGNC:32236;gbkey=misc_RNA;gene=FAM87B;product=family with sequence similarity 87%2C member B;transcript_id=NR_103536.1
NC_000001.10	BestRefSeq	exon	754103	755214	.	+	.	ID=id88;Parent=rna23;Dbxref=GeneID:400728,Genbank:NR_103536.1,HGNC:32236;gbkey=misc_RNA;gene=FAM87B;product=family with sequence similarity 87%2C member B;transcript_id=NR_103536.1
NC_000001.10	BestRefSeq	gene	761586	762902	.	-	.	ID=gene29;Name=LINC00115;Dbxref=GeneID:79854,HGNC:26211;description=long intergenic non-protein coding RNA 115;gbkey=Gene;gene=LINC00115;gene_synonym=NCRNA00115;part=1%2F1
NC_000001.10	BestRefSeq	transcript	761586	762902	.	-	.	ID=rna24;Name=NR_024321.1;Parent=gene29;Dbxref=GeneID:79854,Genbank:NR_024321.1,HGNC:26211;gbkey=misc_RNA;gene=LINC00115;product=long intergenic non-protein coding RNA 115;transcript_id=NR_024321.1
NC_000001.10	BestRefSeq	exon	761586	762902	.	-	.	ID=id89;Parent=rna24;Dbxref=GeneID:79854,Genbank:NR_024321.1,HGNC:26211;gbkey=misc_RNA;gene=LINC00115;product=long intergenic non-protein coding RNA 115;transcript_id=NR_024321.1
NC_000001.10	BestRefSeq	gene	762971	794826	.	+	.	ID=gene30;Name=LOC643837;Dbxref=GeneID:643837;description=uncharacterized LOC643837;gbkey=Gene;gene=LOC643837;part=1%2F1;partial=true
NC_000001.10	BestRefSeq	transcript	762971	794826	.	+	.	ID=rna25;Name=NR_047519.1;Parent=gene30;Dbxref=GeneID:643837,Genbank:NR_047519.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 1;transcript_id=NR_047519.1
NC_000001.10	BestRefSeq	exon	762971	763155	.	+	.	ID=id90;Parent=rna25;Dbxref=GeneID:643837,Genbank:NR_047519.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 1;transcript_id=NR_047519.1
NC_000001.10	BestRefSeq	exon	764383	764484	.	+	.	ID=id91;Parent=rna25;Dbxref=GeneID:643837,Genbank:NR_047519.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 1;transcript_id=NR_047519.1
NC_000001.10	BestRefSeq	exon	783034	783186	.	+	.	ID=id92;Parent=rna25;Dbxref=GeneID:643837,Genbank:NR_047519.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 1;transcript_id=NR_047519.1
NC_000001.10	BestRefSeq	exon	787307	787490	.	+	.	ID=id93;Parent=rna25;Dbxref=GeneID:643837,Genbank:NR_047519.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 1;transcript_id=NR_047519.1
NC_000001.10	BestRefSeq	exon	788051	788146	.	+	.	ID=id94;Parent=rna25;Dbxref=GeneID:643837,Genbank:NR_047519.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 1;transcript_id=NR_047519.1
NC_000001.10	BestRefSeq	exon	788771	794826	.	+	.	ID=id95;Parent=rna25;Dbxref=GeneID:643837,Genbank:NR_047519.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 1;transcript_id=NR_047519.1
NC_000001.10	BestRefSeq	transcript	762971	794826	.	+	.	ID=rna26;Name=NR_015368.2;Parent=gene30;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	exon	762971	763155	.	+	.	ID=id96;Parent=rna26;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	exon	764383	764484	.	+	.	ID=id97;Parent=rna26;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	exon	783034	783186	.	+	.	ID=id98;Parent=rna26;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	exon	787307	787490	.	+	.	ID=id99;Parent=rna26;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	exon	788051	788146	.	+	.	ID=id100;Parent=rna26;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	exon	788771	788853	.	+	.	ID=id101;Parent=rna26;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	exon	789148	794826	.	+	.	ID=id102;Parent=rna26;Dbxref=GeneID:643837,Genbank:NR_015368.2;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 6;transcript_id=NR_015368.2
NC_000001.10	BestRefSeq	transcript	762971	794826	.	+	.	ID=rna27;Name=NR_047520.1;Parent=gene30;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	exon	762971	763155	.	+	.	ID=id103;Parent=rna27;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	exon	764383	764484	.	+	.	ID=id104;Parent=rna27;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	exon	783034	783186	.	+	.	ID=id105;Parent=rna27;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	exon	787307	787490	.	+	.	ID=id106;Parent=rna27;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	exon	788051	788146	.	+	.	ID=id107;Parent=rna27;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	exon	788771	788804	.	+	.	ID=id108;Parent=rna27;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	exon	788854	794826	.	+	.	ID=id109;Parent=rna27;Dbxref=GeneID:643837,Genbank:NR_047520.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 2;transcript_id=NR_047520.1
NC_000001.10	BestRefSeq	transcript	762971	794826	.	+	.	ID=rna28;Name=NR_047521.1;Parent=gene30;Dbxref=GeneID:643837,Genbank:NR_047521.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 3;transcript_id=NR_047521.1
NC_000001.10	BestRefSeq	exon	762971	763155	.	+	.	ID=id110;Parent=rna28;Dbxref=GeneID:643837,Genbank:NR_047521.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 3;transcript_id=NR_047521.1
NC_000001.10	BestRefSeq	exon	764383	764484	.	+	.	ID=id111;Parent=rna28;Dbxref=GeneID:643837,Genbank:NR_047521.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 3;transcript_id=NR_047521.1
NC_000001.10	BestRefSeq	exon	787307	787490	.	+	.	ID=id112;Parent=rna28;Dbxref=GeneID:643837,Genbank:NR_047521.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 3;transcript_id=NR_047521.1
NC_000001.10	BestRefSeq	exon	788051	788146	.	+	.	ID=id113;Parent=rna28;Dbxref=GeneID:643837,Genbank:NR_047521.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 3;transcript_id=NR_047521.1
NC_000001.10	BestRefSeq	exon	788771	794826	.	+	.	ID=id114;Parent=rna28;Dbxref=GeneID:643837,Genbank:NR_047521.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 3;transcript_id=NR_047521.1
NC_000001.10	BestRefSeq	transcript	762971	794826	.	+	.	ID=rna29;Name=NR_047522.1;Parent=gene30;Dbxref=GeneID:643837,Genbank:NR_047522.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 4;transcript_id=NR_047522.1
NC_000001.10	BestRefSeq	exon	762971	763155	.	+	.	ID=id115;Parent=rna29;Dbxref=GeneID:643837,Genbank:NR_047522.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 4;transcript_id=NR_047522.1
NC_000001.10	BestRefSeq	exon	764383	764484	.	+	.	ID=id116;Parent=rna29;Dbxref=GeneID:643837,Genbank:NR_047522.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 4;transcript_id=NR_047522.1
NC_000001.10	BestRefSeq	exon	787307	787490	.	+	.	ID=id117;Parent=rna29;Dbxref=GeneID:643837,Genbank:NR_047522.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 4;transcript_id=NR_047522.1
NC_000001.10	BestRefSeq	exon	788051	788146	.	+	.	ID=id118;Parent=rna29;Dbxref=GeneID:643837,Genbank:NR_047522.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 4;transcript_id=NR_047522.1
NC_000001.10	BestRefSeq	exon	788771	788804	.	+	.	ID=id119;Parent=rna29;Dbxref=GeneID:643837,Genbank:NR_047522.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 4;transcript_id=NR_047522.1
NC_000001.10	BestRefSeq	exon	788854	794826	.	+	.	ID=id120;Parent=rna29;Dbxref=GeneID:643837,Genbank:NR_047522.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 4;transcript_id=NR_047522.1
NC_000001.10	BestRefSeq	transcript	762971	794826	.	+	.	ID=rna30;Name=NR_047523.1;Parent=gene30;Dbxref=GeneID:643837,Genbank:NR_047523.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 5;transcript_id=NR_047523.1
NC_000001.10	BestRefSeq	exon	762971	763155	.	+	.	ID=id121;Parent=rna30;Dbxref=GeneID:643837,Genbank:NR_047523.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 5;transcript_id=NR_047523.1
NC_000001.10	BestRefSeq	exon	764383	764484	.	+	.	ID=id122;Parent=rna30;Dbxref=GeneID:643837,Genbank:NR_047523.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 5;transcript_id=NR_047523.1
NC_000001.10	BestRefSeq	exon	787307	787490	.	+	.	ID=id123;Parent=rna30;Dbxref=GeneID:643837,Genbank:NR_047523.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 5;transcript_id=NR_047523.1
NC_000001.10	BestRefSeq	exon	788771	794826	.	+	.	ID=id124;Parent=rna30;Dbxref=GeneID:643837,Genbank:NR_047523.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 5;transcript_id=NR_047523.1
NC_000001.10	BestRefSeq	transcript	762971	794826	.	+	.	ID=rna31;Name=NR_047524.1;Parent=gene30;Dbxref=GeneID:643837,Genbank:NR_047524.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 7;transcript_id=NR_047524.1
NC_000001.10	BestRefSeq	exon	762971	763155	.	+	.	ID=id125;Parent=rna31;Dbxref=GeneID:643837,Genbank:NR_047524.1;gbkey=misc_RNA;gene=LOC643837;product=uncharacterized LOC643837%2C transcript variant 7;transcript_id=NR_047524.1
